,slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,isVerified,isJobAd,location,adType,isLocalJob,category.id,category.name
0,mercedes-benz-cla-180-amg-premium-plus-2016-for-sale-colombo,Mercedes Benz CLA 180 AMG Premium Plus 2016,"Colombo, Cars","27,000 km",https://i.ikman-st.com/mercedes-benz-cla-180-amg-premium-plus-2016-for-sale-colombo/f166b6b1-c425-4d4f-b719-8482f93809dc/142/107/cropped.jpg,"Rs 17,050,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Colombo,for_sale,False,392,Cars
1,toyota-chr-ngx10-gt-2019-for-sale-galle-2,Toyota CHR NGX10 GT 2019,"Galle, Cars","8,100 km",https://i.ikman-st.com/toyota-chr-ngx10-gt-2019-for-sale-galle-2/760c16b5-9186-4927-bb26-056db1fb7c5c/142/107/cropped.jpg,"Rs 15,500,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Galle,for_sale,False,392,Cars
2,suzuki-wagon-r-stingray-2014-for-sale-gampaha-1028,Suzuki Wagon R Stingray 2014,"Gampaha, Cars","68,000 km",https://i.ikman-st.com/suzuki-wagon-r-stingray-2014-for-sale-gampaha-1028/4c8f3796-3627-4100-a889-76a7e62908e4/142/107/cropped.jpg,"Rs 4,875,000",0,0,True,False,False,premium,Visalma Punchi Car Nivasa,False,False,False,False,1 hour,True,False,Gampaha,for_sale,False,392,Cars
3,daihatsu-terios-2012-for-sale-gampaha-10,Daihatsu Terios 2012,"Gampaha, Cars","88,000 km",https://i.ikman-st.com/daihatsu-terios-2012-for-sale-gampaha-10/86c4fac7-4f25-47f4-92bd-9b7627ddbf85/142/107/cropped.jpg,"Rs 6,275,000",0,0,True,False,False,premium,Visalma Punchi Car Nivasa,False,False,False,False,1 hour,True,False,Gampaha,for_sale,False,392,Cars
4,suzuki-wagon-r-stingray-2018-for-sale-colombo-2596,Suzuki Wagon R Stingray 2018,"Colombo, Cars","13,000 km",https://i.ikman-st.com/suzuki-wagon-r-stingray-2018-for-sale-colombo-2596/ad76be14-8ad3-48fc-bb19-0f32d4d72f1b/142/107/cropped.jpg,"Rs 5,980,000",0,0,False,False,False,free,,False,False,False,False,2 hours,False,False,Colombo,for_sale,False,392,Cars
5,datsun-redi-go-manual-2017-for-sale-colombo,Datsun Redi Go Manual 2017,"Colombo, Cars","78,000 km",https://i.ikman-st.com/datsun-redi-go-manual-2017-for-sale-colombo/c13c0c0e-b2da-45c2-af9c-c4d8dcf00d66/142/107/cropped.jpg,"Rs 2,500,000",0,0,False,False,False,free,,False,False,False,False,2 hours,False,False,Colombo,for_sale,False,392,Cars
6,mitsubishi-mirage-push-start-2015-for-sale-kandy,Mitsubishi Mirage PUSH START 2015,"Kandy, Cars","30,000 km",https://i.ikman-st.com/mitsubishi-mirage-push-start-2015-for-sale-kandy/46271d0d-a817-4dc4-a0d6-6554eae7398f/142/107/cropped.jpg,"Rs 5,875,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Kandy,for_sale,False,392,Cars
7,nissan-tiida-2008-for-sale-gampaha-58,Nissan Tiida 2008,"Gampaha, Cars","143,000 km",https://i.ikman-st.com/nissan-tiida-2008-for-sale-gampaha-58/dc664fb8-d220-4f5b-8578-207f539e3dd9/142/107/cropped.jpg,"Rs 4,350,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Gampaha,for_sale,False,392,Cars
8,suzuki-alto-sport-2015-for-sale-colombo-272,Suzuki Alto Sport 2015,"Colombo, Cars","44,930 km",https://i.ikman-st.com/suzuki-alto-sport-2015-for-sale-colombo-272/894dd650-3325-48dd-a813-ac6de2e3137f/142/107/cropped.jpg,"Rs 2,725,000",0,0,True,False,False,plus,New City Communication ,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
9,micro-panda-geely-1cl-auto-2018-for-sale-kandy-1,Micro Panda Geely 1cl Auto 2018,"Kandy, Cars","4,000 km",https://i.ikman-st.com/micro-panda-geely-1cl-auto-2018-for-sale-kandy-1/c01770d0-2b55-4c4c-9717-3e3d42315f8a/142/107/cropped.jpg,"Rs 3,450,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Kandy,for_sale,False,392,Cars
10,audi-a4-s-line-2012-for-sale-colombo,Audi A4 S-Line 2012,"Colombo, Cars","49,000 km",https://i.ikman-st.com/audi-a4-s-line-2012-for-sale-colombo/828ad551-c189-495b-8767-3e1b02f8ee96/142/107/cropped.jpg,"Rs 11,950,000",0,0,True,False,False,premium,Finest Motor Trading Pvt Ltd,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
11,audi-a4-14-tfsi-2016-for-sale-colombo-8,Audi A4 1.4 TFSI 2016,"Colombo, Cars","75,000 km",https://i.ikman-st.com/audi-a4-14-tfsi-2016-for-sale-colombo-8/a3917755-ad38-477e-b7a8-336c370b8b0b/142/107/cropped.jpg,"Rs 16,700,000",0,0,True,False,False,premium,Elegant Autos (Pvt) Ltd,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
12,mercedes-benz-s300-comfort-plus-2016-for-sale-colombo,Mercedes Benz S300 Comfort Plus 2016,"Colombo, Cars","15,000 km",https://i.ikman-st.com/mercedes-benz-s300-comfort-plus-2016-for-sale-colombo/72288b35-5361-4ac0-a5f7-cc322cd43470/142/107/cropped.jpg,"Rs 65,000,000",0,0,True,False,False,premium,Finest Motor Trading Pvt Ltd,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
13,toyota-harrier-e-four-2008-for-sale-colombo-5,Toyota Harrier E Four 2008,"Colombo, Cars","142,000 km",https://i.ikman-st.com/toyota-harrier-e-four-2008-for-sale-colombo-5/0f51f4fa-1aff-4118-840d-b8028893152f/142/107/cropped.jpg,"Rs 8,950,000",0,0,False,False,False,free,,False,False,False,True,bump_up,False,False,Colombo,for_sale,False,392,Cars
14,toyota-vitz-1300-highest-grade-2009-for-sale-colombo,Toyota Vitz 1300 Highest Grade 2009,"Colombo, Cars","94,000 km",https://i.ikman-st.com/toyota-vitz-1300-highest-grade-2009-for-sale-colombo/722be79e-75ba-4c51-b6b7-c08fd5e77a46/142/107/cropped.jpg,"Rs 4,950,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Colombo,for_sale,False,392,Cars
15,mercedes-benz-c220-amg-diesel-2013-for-sale-colombo-4,Mercedes Benz C220 AMG DIESEL 2013,"Colombo, Cars","101,000 km",https://i.ikman-st.com/mercedes-benz-c220-amg-diesel-2013-for-sale-colombo-4/7113f8be-2567-439e-82c9-904bde5ec940/142/107/cropped.jpg,"Rs 13,500,000",0,0,True,False,False,premium,Elegant Autos (Pvt) Ltd,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
16,mitsubishi-lancer-wagon-1998-for-sale-gampaha,Mitsubishi Lancer Wagon 1998,"Gampaha, Cars","100,000 km",https://i.ikman-st.com/mitsubishi-lancer-wagon-1998-for-sale-gampaha/52758a95-a3df-42f5-bc85-4666972df59e/142/107/cropped.jpg,"Rs 985,000",0,0,False,False,False,free,,False,False,False,False,3 hours,False,False,Gampaha,for_sale,False,392,Cars
17,suzuki-swift-2007-for-sale-colombo-946,Suzuki Swift 2007,"Colombo, Cars","88,107 km",https://i.ikman-st.com/suzuki-swift-2007-for-sale-colombo-946/f6c741ca-ec6f-4e4f-86c6-77419c4a3dce/142/107/cropped.jpg,"Rs 4,890,000",0,0,True,False,False,premium,Nippon Auto Auction,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
18,kia-rio-2000-for-sale-colombo-222,Kia Rio 2000,"Colombo, Cars","228,314 km",https://i.ikman-st.com/kia-rio-2000-for-sale-colombo-222/3c18aefe-b272-481b-b988-41ef9a5ea2f2/142/107/cropped.jpg,"Rs 1,890,000",0,0,True,False,False,premium,Nippon Auto Auction,False,False,False,False,3 hours,True,False,Colombo,for_sale,False,392,Cars
19,toyota-premio-2019-for-sale-kalutara-2,Toyota Premio 2019,"Kalutara, Cars","6,500 km",https://i.ikman-st.com/toyota-premio-2019-for-sale-kalutara-2/f1b757c8-5fc4-4082-a3f6-5e818a96a3f6/142/107/cropped.jpg,"Rs 16,250,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Kalutara,for_sale,False,392,Cars
20,kia-sportage-lx-2wd-2011-for-sale-colombo-1,Kia Sportage LX 2WD 2011,"Colombo, Cars","79,800 km",https://i.ikman-st.com/kia-sportage-lx-2wd-2011-for-sale-colombo-1/1bc0b9c1-6726-4c1b-bea0-d1a5b74b2c09/142/107/cropped.jpg,"Rs 6,675,000",0,0,True,False,False,premium,Car Solutions,False,False,False,False,bump_up,False,False,Colombo,for_sale,False,392,Cars
21,toyota-corolla-elephant-back-ce108-1997-for-sale-gampaha,Toyota Corolla Elephant Back CE108 1997,"Gampaha, Cars","269,000 km",https://i.ikman-st.com/toyota-corolla-elephant-back-ce108-1997-for-sale-gampaha/69809982-63d9-4494-832a-749bdb20ae54/142/107/cropped.jpg,"Rs 2,475,000",0,0,True,False,False,premium,ONE 2 ONE CAR SALE,False,False,False,False,4 hours,True,False,Gampaha,for_sale,False,392,Cars
22,toyota-premio-sedan-2017-for-sale-kandy,Toyota Premio sedan 2017,"Kandy, Cars","54,500 km",https://i.ikman-st.com/toyota-premio-sedan-2017-for-sale-kandy/e9af743a-fddb-47bb-ac56-412b685d11f0/142/107/cropped.jpg,"Rs 15,800,000",0,0,False,False,False,free,,False,False,False,False,bump_up,False,False,Kandy,for_sale,False,392,Cars
